Station,Trafic,Année,Trafic_Année_Précedente,Réseau_Métro,Réseau_RER
MONCEAU,1662955,2014,1654418.0,1,0
REUILLY-DIDEROT,5808594,2014,5662974.0,1,0
EUROPE,1585380,2014,1619580.0,1,0
PORTE DE SAINT-CLOUD,5291193,2014,5284078.0,1,0
RENNES,1272544,2014,1297127.0,1,0
SAINT-DENIS-PORTE DE PARIS,3041907,2014,2983942.0,1,0
LUXEMBOURG,5441398,2014,5495050.0,0,1
PORTE DAUPHINE,2894665,2014,2890496.0,1,0
NATION-RER,4120752,2014,3902059.0,0,1
BERAULT,2858413,2014,2723583.0,1,0
BAGNEUX,2034790,2014,1941898.0,0,1
NATIONALE,2614523,2014,2710907.0,1,0
LE GUICHET,856871,2014,837809.0,0,1
RANELAGH,2383384,2014,2390818.0,1,0
MAIRIE DES LILAS,4681803,2014,4673141.0,1,0
CITE,2326158,2014,2317889.0,1,0
COLONEL FABIEN,4575858,2014,4808282.0,1,0
SAINT-FRANCOIS-XAVIER,1797081,2014,1837976.0,1,0
PORTE DE VANVES,4410283,2014,4464578.0,1,0
LA DEFENSE-RER,30059436,2014,30237090.0,0,1
ALMA-MARCEAU,4272042,2014,4060044.0,1,0
CHAMPIGNY,3432922,2014,3386190.0,0,1
LES COURTILLES,4126878,2014,3944225.0,1,0
BIBLIOTHEQUE,15840239,2014,15472531.0,1,0
QUAI DE LA GARE,3366405,2014,3420407.0,1,0
HAVRE-CAUMARTIN,7661183,2014,7899688.0,1,0
PLACE MONGE,2973319,2014,3057167.0,1,0
SAINT-PAUL,6591103,2014,6515486.0,1,0
BOBIGNY-PANTIN-RAYMOND QUENEAU,2438115,2014,2371008.0,1,0
GALLIENI,6196476,2014,6316117.0,1,0
SEVRES-LECOURBE,1992343,2014,2408327.0,1,0
PEREIRE,4711045,2014,4787487.0,1,0
MABILLON,1892987,2014,1980247.0,1,0
CRETEIL-PREFECTURE,4674246,2014,4349228.0,1,0
CHATEAU-LANDON,1629996,2014,1644923.0,1,0
FORT D'AUBERVILLIERS,3694272,2014,3927340.0,1,0
LAPLACE,3224399,2014,3013290.0,0,1
CARREFOUR PLEYEL,2987091,2014,2829368.0,1,0
FONTENAY-SOUS-BOIS,2469377,2014,2489026.0,0,1
VAVIN,2308243,2014,2212681.0,1,0
PALAISEAU-VILLEBON,856892,2014,837916.0,0,1
BOTZARIS,996326,2014,951182.0,1,0
STALINGRAD,7089762,2014,7588899.0,1,0
BOLIVAR,581422,2014,646310.0,1,0
SAINT-DENIS-UNIVERSITE,5261145,2014,5357667.0,1,0
NOISY-LE-GRAND-MONT D'EST,7098238,2014,6788250.0,0,1
CHAMPS-ELYSEES-CLEMENCEAU,4910801,2014,4617843.0,1,0
PARC DE SCEAUX,534550,2014,527458.0,0,1
GUY MOQUET,4602495,2014,4660620.0,1,0
SAINT-LAZARE,44936936,2014,44939493.0,1,0
LE KREMLIN-BICETRE,4360175,2014,4428481.0,1,0
