Rang,Réseau,Station,Trafic,Ville,Année
100,Métro,RAMBUTEAU,4498414,Paris,2013
102,Métro,PORTE DE BAGNOLET,4487998,Paris,2013
104,Métro,ROBESPIERRE,4448864,Montreuil,2013
266,Métro,CARDINAL LEMOINE,1715926,Paris,2013
282,Métro,MIRABEAU,1420987,Paris,2013
20,RER,DENFERT-ROCHEREAU-RER,4319008,Paris,2013
30,RER,CHAMPIGNY,3386190,Saint-Maur des Fossés,2013
39,RER,BOISSY-SAINT-LEGER,2249848,Boissy-Saint-Léger,2013
86,Métro,BONNE NOUVELLE,4953438,Paris,2013
133,Métro,MALAKOFF-PLATEAU DE VANVES,3852053,Malakoff,2013
155,Métro,PORTE DE LA VILLETTE,3391140,Paris,2013
173,Métro,CHARENTON-ECOLES,3074333,Charenton,2013
180,Métro,SIMPLON,2994773,Paris,2013
184,Métro,ARGENTINE,2932686,Paris,2013
195,Métro,COMMERCE,2814912,Paris,2013
196,Métro,ETIENNE MARCEL,2803893,Paris,2013
229,Métro,LES AGNETTES,2368284,Asnières sur Seine,2013
259,Métro,SAINT-MARCEL,1853989,Paris,2013
29,Métro,LA MOTTE-PICQUET-GRENELLE,8280583,Paris,2013
59,Métro,SAINT-MANDE-TOURELLE,6039765,Saint Mandé,2013
80,Métro,CROIX DE CHAVAUX,5167717,Montreuil,2013
95,Métro,PORTE DE PANTIN,4675965,Paris,2013
116,Métro,BALARD,4189814,Paris,2013
121,Métro,ARTS ET METIERS,4036745,Paris,2013
134,Métro,BOULOGNE-JEAN JAURES,3847782,Boulogne Billancourt,2013
150,Métro,BROCHANT,3492868,Paris,2013
208,Métro,MAUBERT-MUTUALITE,2631728,Paris,2013
247,Métro,SAINT-JACQUES,2070465,Paris,2013
253,Métro,AVRON,1907820,Paris,2013
284,Métro,PIERRE CURIE,1404039,Ivry,2013
28,RER,NANTERRE-VILLE,3424216,Nanterre,2013
48,RER,CHATOU-CROISSY,1905937,Chatou,2013
61,RER,BURES-SUR-YVETTE,649479,Bures sur Yvette,2013
58,Métro,ODEON,6156948,Paris,2013
78,Métro,DAUMESNIL,5195589,Paris,2013
108,Métro,CRETEIL-PREFECTURE,4349228,Créteil,2013
125,Métro,TERNES,3928660,Paris,2013
156,Métro,CORENTIN CELTON,3380242,Issy Les Moulineaux,2013
211,Métro,WAGRAM,2617716,Paris,2013
11,RER,RUEIL-MALMAISON,6518344,Rueil-Malmaison,2013
29,RER,VAL D'EUROPE,3392885,Serris,2013
66,RER,LA HACQUINIERE,409864,Bures sur Yvette,2013
47,Métro,PORTE D'ORLEANS,6598073,Paris,2013
70,Métro,LES SABLONS,5439982,Neuilly Sur Seine,2013
75,Métro,GABRIEL PERI,5285165,Asnières,2013
177,Métro,BOULOGNE-PONT DE SAINT-CLOUD,3033621,Boulogne Billancourt,2013
192,Métro,SAINT-PHILIPPE-DU-ROULE,2833206,Paris,2013
202,Métro,PORTE DOREE,2702079,Paris,2013
204,Métro,LOUVRE,2650897,Paris,2013
303,Métro,EGLISE D'AUTEUIL,183783,Paris,2013
24,Métro,TROCADERO,8973095,Paris,2013
79,Métro,PYRAMIDES,5172054,Paris,2013
181,Métro,SAINT-AUGUSTIN,2994175,Paris,2013
197,Métro,SAINT-AMBROISE,2780473,Paris,2013
206,Métro,RUE DU BAC,2632889,Paris,2013
212,Métro,TUILERIES,2616916,Paris,2013
227,Métro,CRETEIL-POINTE DU LAC,2384761,Créteil,2013
17,RER,NANTERRE-UNIVERSITE,5024403,Nanterre,2013
22,RER,NOISY-CHAMPS,4168244,Champs-sur-Marne,2013
34,RER,LA CROIX DE BERNY,2937840,Antony,2013
5,Métro,GARE DE L'EST,19989528,Paris,2013
22,Métro,CHARLES DE GAULLE-ETOILE,9067635,Paris,2013
154,Métro,CRETEIL-UNIVERSITE,3395813,Créteil,2013
58,RER,LOZERE,742156,Palaiseau,2013
18,Métro,STRASBOURG-SAINT-DENIS,9967686,Paris,2014
5,Métro,GARE DE L'EST,20284835,Paris,2014
44,Métro,PORTE D'ORLEANS,6848088,Paris,2014
59,Métro,CHATILLON-MONTROUGE,6109396,Chatillon,2014
45,Métro,PONT DE NEUILLY,6823045,Neuilly Sur Seine,2014
69,Métro,LES SABLONS,5500065,Neuilly Sur Seine,2014
104,Métro,MENILMONTANT,4472755,Paris,2014
71,Métro,SEVRES-BABYLONE,5387363,Paris,2014
106,Métro,SAINT-GERMAIN DES PRES,4443897,Paris,2014
107,Métro,RAMBUTEAU,4429945,Paris,2014
108,Métro,MAIRIE D'ISSY,4413172,Issy Les Moulineaux,2014
114,Métro,BLANCHE,4278243,Paris,2014
113,Métro,BALARD,4287048,Paris,2014
117,Métro,JUSSIEU,4174050,Paris,2014
120,Métro,PORTE DE CLICHY,4094794,Paris,2014
125,Métro,VAUGIRARD,3850737,Paris,2014
164,Métro,GARIBALDI,3197736,Saint Ouen,2014
159,Métro,DUPLEIX,3347548,Paris,2014
205,Métro,DUGOMMIER,2640369,Paris,2014
169,Métro,CORENTIN CARIOU,3115884,Paris,2014
206,Métro,LIBERTE,2635279,Charenton,2014
171,Métro,BOUCICAUT,3106974,Paris,2014
217,Métro,SAINT-SULPICE,2532665,Paris,2014
179,Métro,COURONNES,3006923,Paris,2014
47,RER,BRY-SUR-MARNE,2021786,Bry-sur-Marne,2014
199,Métro,LA FOURCHE,2816140,Paris,2014
49,RER,LA VARENNE-CHENNEVIERES,1871804,saint-Maur des Fossés,2014
225,Métro,PORTE D'ITALIE,2432555,Paris,2014
1,Métro,GARE DU NORD,51316194,Paris,2014
272,Métro,CARDINAL LEMOINE,1713765,Paris,2014
4,Métro,MONTPARNASSE-BIENVENUE,31553833,Paris,2014
274,Métro,MONCEAU,1662955,Paris,2014
65,Métro,REUILLY-DIDEROT,5808594,Paris,2014
277,Métro,EUROPE,1585380,Paris,2014
76,Métro,PORTE DE SAINT-CLOUD,5291193,Paris,2014
287,Métro,RENNES,1272544,Paris,2014
178,Métro,SAINT-DENIS-PORTE DE PARIS,3041907,Saint Denis,2014
16,RER,LUXEMBOURG,5441398,Paris,2014
192,Métro,PORTE DAUPHINE,2894665,Paris,2014
23,RER,NATION-RER,4120752,Paris,2014
196,Métro,BERAULT,2858413,Vincennes,2014
46,RER,BAGNEUX,2034790,Cachan,2014
207,Métro,NATIONALE,2614523,Paris,2014
57,RER,LE GUICHET,856871,Orsay,2014
230,Métro,RANELAGH,2383384,Paris,2014
96,Métro,MAIRIE DES LILAS,4681803,Les Lilas,2014
231,Métro,CITE,2326158,Paris,2014
102,Métro,COLONEL FABIEN,4575858,Paris,2014
268,Métro,SAINT-FRANCOIS-XAVIER,1797081,Paris,2014
109,Métro,PORTE DE VANVES,4410283,Paris,2014
3,RER,LA DEFENSE-RER,30059436,Puteaux,2014
115,Métro,ALMA-MARCEAU,4272042,Paris,2014
30,RER,CHAMPIGNY,3432922,Saint-Maur des Fossés,2014
118,Métro,LES COURTILLES,4126878,Asnières sur Seine,2014
8,Métro,BIBLIOTHEQUE,15840239,Paris,2014
158,Métro,QUAI DE LA GARE,3366405,Paris,2014
29,Métro,HAVRE-CAUMARTIN,7661183,Paris,2014
185,Métro,PLACE MONGE,2973319,Paris,2014
48,Métro,SAINT-PAUL,6591103,Paris,2014
224,Métro,BOBIGNY-PANTIN-RAYMOND QUENEAU,2438115,Pantin,2014
57,Métro,GALLIENI,6196476,Bagnolet,2014
252,Métro,SEVRES-LECOURBE,1992343,Paris,2014
94,Métro,PEREIRE,4711045,Paris,2014
257,Métro,MABILLON,1892987,Paris,2014
97,Métro,CRETEIL-PREFECTURE,4674246,Créteil,2014
276,Métro,CHATEAU-LANDON,1629996,Paris,2014
136,Métro,FORT D'AUBERVILLIERS,3694272,Aubervilliers,2014
32,RER,LAPLACE,3224399,Arcueil,2014
183,Métro,CARREFOUR PLEYEL,2987091,Saint Denis,2014
38,RER,FONTENAY-SOUS-BOIS,2469377,Fontenay-sous-Bois,2014
232,Métro,VAVIN,2308243,Paris,2014
56,RER,PALAISEAU-VILLEBON,856892,Palaiseau,2014
292,Métro,BOTZARIS,996326,Paris,2014
39,Métro,STALINGRAD,7089762,Paris,2014
299,Métro,BOLIVAR,581422,Paris,2014
78,Métro,SAINT-DENIS-UNIVERSITE,5261145,Saint Denis,2014
10,RER,NOISY-LE-GRAND-MONT D'EST,7098238,Noisy-le-Grand,2014
88,Métro,CHAMPS-ELYSEES-CLEMENCEAU,4910801,Paris,2014
65,RER,PARC DE SCEAUX,534550,Antony,2014
100,Métro,GUY MOQUET,4602495,Paris,2014
2,Métro,SAINT-LAZARE,44936936,Paris,2014
111,Métro,LE KREMLIN-BICETRE,4360175,Kremlin-Bicêtre,2014
28,Métro,LA MOTTE-PICQUET-GRENELLE,8248998,Paris,2014
130,Métro,MAIRIE DE SAINT-OUEN,3819193,Saint Ouen,2014
67,Métro,LA COURNEUVE-8 MAI 1945,5665476,La Courneuve,2014
151,Métro,JOURDAIN,3474999,Paris,2014
73,Métro,BERCY,5359847,Paris,2014
154,Métro,CORENTIN CELTON,3447242,Issy Les Moulineaux,2014
74,Métro,MAIRIE DE MONTROUGE,5346471,Montrouge,2014
193,Métro,ROME,2892744,Paris,2014
77,Métro,GABRIEL PERI,5278348,Asnières,2014
208,Métro,VOLONTAIRES,2610342,Paris,2014
124,Métro,VICTOR HUGO,3870906,Paris,2014
214,Métro,VILLEJUIF-LEO LAGRANGE,2545252,Villejuif,2014
127,Métro,ARTS ET METIERS,3836852,Paris,2014
226,Métro,LOURMEL,2424840,Paris,2014
150,Métro,SENTIER,3484652,Paris,2014
284,Métro,PICPUS,1346859,Paris,2014
174,Métro,PORTE DE CHOISY,3088532,Paris,2014
21,Métro,NATION,9333662,Paris,2014
200,Métro,MARAICHERS,2807675,Paris,2014
